claveU,ID,nroViaje,dive,julianoIni,duration,MaxDepth,julianoMax,AvgDepth,MinDepth,BottomTemp,SurfaceTemp,intervaloEnSuperficie,donde,longi,lati,actuBuceo
ANIF,82013,1,11312,240.088079,13.83,392.00,240.091667,256.08,4.00,8.3,8.6,2.50,F,-54.797000,-37.640000,x
ANIF,82041,1,11340,240.644560,30.17,434.50,240.650231,347.74,6.00,7.5,8.8,2.00,F,-54.436000,-37.403000,x
ANIF,82046,1,11345,240.758796,30.17,608.00,240.769907,373.67,2.50,7.0,8.3,1.83,F,-54.387000,-37.400000,x
ANIF,82048,1,11347,240.801968,28.83,455.50,240.816782,355.08,3.00,7.5,8.6,2.33,F,-54.347000,-37.388000,x
ANIF,82056,1,11355,240.991204,22.67,506.00,240.999537,365.37,6.50,7.1,8.8,3.00,F,-54.415000,-37.442000,x
ANIF,82072,1,11371,241.240856,14.50,428.50,241.248032,279.63,3.50,10.6,13.4,2.50,F,-54.236000,-37.397000,x
ANIF,82076,1,11375,241.287963,15.33,479.50,241.295139,303.98,8.00,10.9,14.1,2.67,F,-54.111000,-37.436000,x
ANIF,82078,1,11377,241.311921,14.33,492.50,241.318171,299.28,3.00,11.3,14.6,2.67,F,-54.105000,-37.411000,x
ANIF,82086,1,11385,241.464931,25.17,901.00,241.474884,522.55,13.50,7.7,12.7,2.17,F,-53.896000,-37.564000,x
ANIF,82107,1,11406,241.874074,14.83,582.50,241.879167,323.59,9.50,13.6,15.4,2.17,F,-54.025000,-37.583000,x
ANIF,82115,1,11414,241.978472,15.83,472.00,241.986227,328.44,13.00,11.9,14.6,3.17,F,-54.008000,-37.630000,x
ANIF,82120,1,11419,242.043866,17.50,557.00,242.048380,346.52,2.50,13.0,14.3,2.50,F,-54.017000,-37.701000,x
ANIF,82121,1,11420,242.057755,17.50,498.50,242.066551,334.82,10.00,11.3,14.3,2.50,F,-54.058000,-37.669000,x
ANIF,82126,1,11425,242.122685,15.33,457.00,242.127778,297.91,4.00,12.9,14.4,2.33,F,-54.073000,-37.742000,x
ANIF,82132,1,11431,242.195833,14.17,454.00,242.202662,284.06,9.50,11.2,13.6,2.33,F,-54.070000,-37.807000,x
ANIF,82163,1,11462,242.798264,29.33,485.50,242.810532,368.10,6.00,7.4,8.6,2.17,F,-54.154000,-37.919000,x
ANIF,82172,1,11471,242.955556,21.00,640.50,242.964931,399.63,8.50,6.7,8.5,2.83,F,-54.189000,-37.972000,x
ANIF,82176,1,11475,243.022917,29.33,635.00,243.028241,432.92,5.50,7.4,9.5,2.83,F,-54.196000,-37.981000,x
ANIF,82219,1,11518,243.786343,20.17,518.50,243.791204,330.97,2.50,8.3,9.1,2.33,F,-54.201000,-38.242000,x
ANIF,82240,1,11539,244.078241,31.50,614.00,244.087269,454.76,11.50,7.5,12.4,28.33,F,-54.134000,-38.353000,x
ANIF,82244,1,11543,244.170486,23.17,689.50,244.179514,422.59,4.50,7.0,10.4,3.00,F,-54.051000,-38.352000,x
ANIF,82259,1,11558,244.424074,28.17,363.00,244.429398,301.52,3.50,9.8,12.2,2.17,F,-54.123000,-38.479000,x
ANIF,82307,1,11606,245.250694,18.33,698.00,245.257292,384.15,2.50,8.2,12.7,27.33,F,-54.184000,-38.789000,x
ANIF,82315,1,11614,245.409722,27.67,311.50,245.419676,241.46,3.00,8.9,9.8,2.50,F,-54.146000,-38.793000,x
ANIF,82318,1,11617,245.475347,31.50,494.00,245.483333,354.66,5.00,7.5,12.1,2.50,F,-54.091000,-38.757000,x
